Exp_n,Cage,date_coral_in,time_coral_in,date_finish,combo_general_spp,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,method_order_determined,camera_evidence,n_videos_eating,n_pics_eating,n_hours_eat,date_time_start,visitied_first,first_eaten_visited_first,feeding_time,comments
74,C077,5/20/21,11:49:00 AM,5/27/21,PMEA_MCAP,POSP,NORTH,BR,10.5,6.5,9.5,PMEA,,MCAP,,ate one,ate on video,1,NA,1+,5/21/21 7:00,PMEA,Y,both_start_night,
74,C077,5/20/21,11:49:00 AM,5/27/21,PMEA_MCAP,MCAP,SOUTH,EF,10.5,10,6,PMEA,,MCAP,,ate one,NA,NA,NA,NA,NA,PMEA,Y,NA,
75,C153,5/20/21,12:00:00 PM,5/27/21,PMEA_MPAT,POSP,NORTH,BR,11.5,10,27,MPAT,,PGRA,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,
75,C153,5/20/21,12:00:00 PM,5/27/21,PMEA_MPAT,MPAT,SOUTH,EF,17,15,14,MPAT,,PGRA,,ate one,ate on video,13,NA,13+,5/26/21 6:00,MPAT,Y,both_start_night,
76,C152,6/24/21,1:55:00 PM,7/1/21,PMEA_PCOM,PCOM,NORTH,KN,8.5,6,6,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,PCOM,N,NA,
76,C152,6/24/21,1:55:00 PM,7/1/21,PMEA_PCOM,POSP,SOUTH,BR,12,9.5,10.5,PMEA,,PCOM,,ate one,NA,NA,NA,NA,N/A,PCOM,N,overnight,
77,C079,6/24/21,2:09:00 PM,7/1/21,PMEA_PCOM,PCOM,SOUTH,KN,5,2,4.5,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,PCOM,N,NA,
77,C079,6/24/21,2:09:00 PM,7/1/21,PMEA_PCOM,POSP,NORTH,BR,7.5,4,8,PMEA,,PCOM,,ate one,color change_video,NA,NA,NA,6/26/21-6/27/21,PCOM,N,overnight,
83,C078,7/22/21,1:44:00 PM,7/29/21,PMEA_PCOM,PCOM,NORTH,KN,2.5,2,4.5,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,PCOM,N,NA,
83,C078,7/22/21,1:44:00 PM,7/29/21,PMEA_PCOM,POSP,SOUTH,BR,4,1.5,5,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,PCOM,N,overnight,
84,C077,7/22/21,1:57:00 PM,7/29/21,PLOB_MPAT,PORM,NORTH,MD,12,9.5,11,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,
84,C077,7/22/21,1:57:00 PM,7/29/21,PLOB_MPAT,MPAT,SOUTH,EF,15.5,10,6.5,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,overnight,
85,C153,7/22/21,2:05:00 PM,7/29/21,PLOB_MPAT,PORM,NORTH,MD,7.5,6.5,4,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,
85,C153,7/22/21,2:05:00 PM,7/29/21,PLOB_MPAT,MPAT,SOUTH,EF,11.5,6.5,5.5,MPAT,,PLOB,,ate one,ate on video,1,NA,1+,7/23/21 6:00,MPAT,Y,both_start_night,
86,C152,8/5/21,2:19:00 PM,8/12/21,PLOB_MPAT,PORM,SOUTH,MD,12,9,9,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,
86,C152,8/5/21,2:19:00 PM,8/12/21,PLOB_MPAT,MPAT,NORTH,EF,22,13,9,MPAT,,PLOB,,ate one,ate on video,2,NA,2+,8/6/21 6:00,MPAT,Y,both_start_night,
87,C079,8/5/21,2:09:00 PM,8/12/21,PLOB_MPAT,PORM,NORTH,MD,12,9.5,9,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,
87,C079,8/5/21,2:09:00 PM,8/12/21,PLOB_MPAT,MPAT,SOUTH,EF,12,9,9,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,MPAT,Y,overnight,
88,C078,8/5/21,2:20:00 PM,8/12/21,PMEA_PCOM,POSP,NORTH,BR,6,4,8,PMEA,,PCOM,,ate one,color change_video,NA,NA,NA,8/5/21-8/6/21,NA,NA,overnight,also ate POSP that was growing on cage
88,C078,8/5/21,2:20:00 PM,8/12/21,PMEA_PCOM,PCOM,SOUTH,KN,8,6,10,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,NA,NA,NA,also ate POSP that was growing on cage
89,C077,8/5/21,2:27:00 PM,8/12/21,PMEA_PCOM,POSP,NORTH,BR,4,2,6.5,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,PCOM,N,overnight,
89,C077,8/5/21,2:27:00 PM,8/12/21,PMEA_PCOM,PCOM,SOUTH,KN,4,2.5,6.5,PMEA,,PCOM,,ate one,NA,NA,NA,NA,NA,PCOM,N,NA,
